Acc_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
2.00512E+12,1,9,0,9,0,8,0,0,0,0,1,1,15,1,6,-1,-1,-1,-1,-1
2.00512E+12,2,1,0,18,0,8,0,0,0,0,4,1,15,1,5,-1,-1,-1,-1,-1
2.00512E+12,1,9,0,7,0,8,0,0,1,10,1,1,15,1,5,-1,-1,-1,-1,-1
2.00512E+12,2,9,0,16,0,8,0,0,0,10,1,1,15,2,6,-1,-1,-1,-1,-1
2.00512E+12,1,9,0,9,0,8,0,0,0,0,1,1,15,2,7,-1,-1,-1,-1,-1
2.00512E+12,2,9,0,18,0,8,0,0,0,0,4,1,15,2,9,-1,-1,-1,-1,-1
2.00512E+12,1,9,0,3,0,0,0,0,0,0,2,1,15,1,6,-1,-1,-1,-1,-1
2.00512E+12,2,9,0,18,0,0,0,0,0,0,1,1,15,2,4,-1,-1,-1,-1,-1
2.00512E+12,1,9,0,9,0,8,0,0,0,0,1,1,15,2,6,-1,-1,-1,-1,-1
2.00512E+12,2,2,0,18,0,8,0,0,0,0,4,1,15,1,7,-1,-1,-1,-1,-1
2.00512E+12,1,9,0,18,0,0,1,0,0,6,1,1,15,2,6,-1,-1,-1,-1,-1
2.00512E+12,2,1,0,18,0,8,0,0,0,0,4,1,15,2,3,-1,-1,-1,-1,-1
2.00512E+12,1,9,0,7,0,1,0,0,0,0,2,1,15,2,6,-1,-1,-1,-1,-1
2.00512E+12,2,9,0,7,0,1,0,0,0,0,1,1,15,2,4,-1,-1,-1,-1,-1
2.00512E+12,1,9,0,18,0,0,1,0,1,9,0,1,15,1,9,-1,-1,-1,-1,-1
2.00512E+12,2,9,0,18,0,0,0,0,0,0,0,1,15,3,-1,-1,-1,-1,-1,-1
2.00512E+12,1,21,0,9,0,8,0,0,0,0,1,1,15,1,8,-1,-1,-1,-1,-1
2.00512E+12,2,2,0,18,0,8,0,0,7,0,1,1,15,1,9,-1,-1,-1,-1,-1
2.00512E+12,1,9,0,18,0,5,0,0,0,0,1,1,15,2,7,-1,-1,-1,-1,-1
2.00512E+12,2,1,0,18,0,5,0,0,0,0,2,1,15,2,6,-1,-1,-1,-1,-1
2.00512E+12,2,9,0,8,0,1,0,0,0,0,2,1,15,2,7,-1,-1,-1,-1,-1
2.00512E+12,1,9,0,18,0,1,1,0,0,0,1,1,15,1,5,-1,-1,-1,-1,-1
2.00512E+12,4,21,1,16,0,0,0,0,0,0,0,1,15,3,-1,-1,-1,-1,-1,-1
2.00512E+12,2,9,0,3,0,1,0,0,0,0,2,1,15,2,6,-1,-1,-1,-1,-1
